id;equipo;apodo;temporada;epoca;region;estilo;formacion;dinamica;formacion_con_balon;formacion_sin_balon;portada;escudo;descripcion;estilo_ataque;construccion;zona_ataque;posicionamiento;rango_apoyo;estilo_defensivo;zona_contencion;presion;linea_defensiva;compacidad;ataque_avanzada_1;ataque_avanzada_2;defensa_avanzada_1;defensa_avanzada_2;claves
liverpool-2018-2020;Liverpool FC;Los Reds de Klopp;2018-2020;Años 2010;Europa;Gegenpress vertical;4-3-3;Si;2-3-2-3;4-1-4-1;assets/images/tacticas/liverpool-2018-2020.jpg;img/special teams/Liverpool FC.png;Presión alta, laterales creativos y tridente móvil con Firmino como falso 9.;Contraataque;Pase corto;Banda;Flexible;5;Presión en primera línea;Banda;Agresiva;8;8;Laterales ofensivos;Falso nueve;Presión alta;Delantero liberado: Salah;Gegenpress|Laterales creativos|Tridente móvil
espana-2010;España;La Roja del tiki-taka;2010;Años 2010;Europa;Control y posesión;4-2-3-1;Si;2-3-4-1;4-4-1-1;assets/images/tacticas/espana-2010.jpeg;img/special teams/Espana.png;Control absoluto con posesión, pase corto y superioridad interior alrededor de Xavi.;Posesión;Pase corto;Centro;Flexible;3;Presión en primera línea;Centro;Conservadora;6;8;Tiqui-taca;Falso extremo;Presión alta;Marcaje estrecho: DC rival;Tiki-taka|Xavi organizador|Superioridad interior
ajax-1994-1995;AFC Ajax;El Ajax campeón de Europa;1994-1995;Años 90;Europa;Escuela Ajax;3-4-3;Si;3-3-1-3;4-1-4-1;assets/images/tacticas/ajax-1994-1995.jpg;img/special teams/Jong Ajax.png;Posesión, presión alta, extremos abiertos y Litmanen flotando entre líneas.;Posesión;Pase corto;Banda;Flexible;3;Presión en primera línea;Banda;Agresiva;8;8;Ensanchar la cancha;Tiqui-taca;Presión alta;Marcaje estrecho: DC rival;Extremos abiertos|Litmanen libre|Presión alta
manchester-united-1998-1999;Manchester United;El United del triplete;1998-1999;Años 90;Europa;Bandas clásicas;4-4-2;Si;2-4-2-2;4-4-2;assets/images/tacticas/manchester-united-1998-1999.jpg;img/special teams/manchester-united-1993-1998-logo.png;4-4-2 clásico, bandas abiertas y dupla Yorke-Cole atacando el área con ritmo alto.;Contraataque;Pase corto;Banda;Mantener formación;5;Presión en primera línea;Banda;Agresiva;6;7;Ensanchar la cancha;Centros al área;Presión alta;Delantero liberado: Andy Cole;Triplete|Bandas abiertas|Yorke y Cole
bayern-munich-2012-2013;Bayern Múnich;El Bayern del triplete;2012-2013;Años 2010;Europa;Presión equilibrada;4-2-3-1;Si;2-4-3-1;4-4-1-1;assets/images/tacticas/bayern-munich-2012-2013.jpg;img/special teams/bayern-munchen-2002-2017-logo.png;Presión alta, bandas letales y equilibrio total con Robben, Ribéry, Müller y Mandzukic.;Contraataque;Pase corto;Banda;Flexible;5;Presión en primera línea;Banda;Agresiva;7;8;Laterales ofensivos;Rotación de banda;Presión alta;Delantero liberado: Robben;Triplete|Robben y Ribéry|Presión alta
chelsea-2004-2005;Chelsea;El Chelsea blindado;2004-2005;Años 2000;Europa;Bloque físico;4-3-3;Si;4-1-2-3;4-1-4-1;assets/images/tacticas/chelsea-2004-2005.jpg;img/special teams/chelsea-fc-2003-2005-logo.png;Bloque compacto, Makelele protegiendo, Lampard llegando y Drogba como referencia total.;Contraataque;Pase corto;Banda;Mantener formación;6;Defensa total;Centro;Conservadora;5;9;Defensivo: Makelele;Centros al área;Delantero liberado: Drogba;Defensa atrasada;Bloque compacto|Drogba referencia|Lampard llegador
real-madrid-2001-2002;Real Madrid;Los Galácticos;2001-2002;Años 2000;Europa;Talento técnico;4-2-3-1;Si;2-4-3-1;4-4-1-1;assets/images/tacticas/real-madrid-2001-2002.jpg;img/special teams/real-madrid-1998-2002-logo.png;Posesión técnica con Zidane libre, Figo desequilibrando y Roberto Carlos dando profundidad.;Posesión;Pase corto;Banda;Flexible;4;Defensa total;Centro;Conservadora;5;7;Laterales ofensivos;Tiqui-taca;Delantero liberado: Raúl;Defensa atrasada;Zidane libre|Figo creativo|Roberto Carlos
manchester-city-2022-2023;Manchester City;El City del triplete;2022-2023;Años 2020;Europa;Control territorial;3-2-4-1;Si;3-2-4-1;4-4-2;assets/images/tacticas/manchester-city-2022-2023.jpeg;img/teams/173.webp;Control moderno con Rodri-Stones sosteniendo, De Bruyne creando y Haaland fijando centrales.;Posesión;Pase corto;Centro;Flexible;3;Presión en primera línea;Centro;Agresiva;8;8;Tiqui-taca;Centros al área;Presión alta;Marcaje estrecho: DC rival;Control territorial|Rodri y Stones|Haaland referencia
argentina-1986;Argentina;La Argentina de Maradona;1986;Años 80;América;Maradona libre;3-4-1-2;Si;3-3-1-3;5-3-1-1;assets/images/tacticas/argentina-1986.jpg;img/special teams/argentina-1982-1986-logo.png;Equipo compacto con tres centrales, carrileros y Maradona libre para decidir.;Contraataque;Pase corto;Centro;Flexible;5;Defensa total;Centro;Conservadora;5;8;Defensivo: Batista;Tiqui-taca;Delantero liberado: Maradona;Defensa atrasada;Maradona libre|Tres centrales|Carrileros
francia-1998;Francia;Les Bleus campeones;1998;Años 90;Europa;Solidez y control;4-3-1-2;Si;4-2-3-1;4-5-1;assets/images/tacticas/francia-1998.jpg;img/special teams/francia-1970-1998-logo.png;Equipo físico y equilibrado, con Zidane creando y un bloque central muy difícil de romper.;Posesión;Pase corto;Centro;Mantener formación;4;Defensa total;Centro;Conservadora;5;8;Defensivo: Deschamps;Tiqui-taca;Marcaje estrecho: DC rival;Defensa atrasada;Zidane libre|Solidez central|Mediocampo físico
juventus-2014-2015;Juventus;La Juve de Pirlo y Tévez;2014-2015;Años 2010;Europa;Dominio interior;4-3-1-2;Si;3-4-1-2;4-4-2;assets/images/tacticas/juventus-2014-2015.jpg;img/special teams/juventus-fc-2004-2015-logo.png;Mediocampo de élite con Pirlo organizando, Pogba rompiendo líneas y Tévez libre arriba.;Posesión;Pase corto;Centro;Flexible;4;Defensa total;Centro;Agresiva;6;8;Tiqui-taca;Defensivo: Pirlo;Delantero liberado: Tévez;Marcaje estrecho: DC rival;Pirlo organizador|Pogba llegada|Tévez libre
borussia-dortmund-2012-2013;Borussia Dortmund;El Dortmund del gegenpress;2012-2013;Años 2010;Europa;Gegenpress vertical;4-2-3-1;Si;2-4-3-1;4-4-1-1;assets/images/tacticas/borussia-dortmund-2012-2013.webp;img/teams/126.webp;Presión altísima, transiciones verticales, Götze conectando y Lewandowski como delantero completo.;Contraataque;Pase corto;Centro;Flexible;5;Presión en primera línea;Banda;Agresiva;8;8;Rotación de banda;Falso extremo;Presión alta;Delantero liberado: Reus;Gegenpress|Reus al espacio|Lewandowski
roma-2000-2001;AS Roma;La Roma de Capello;2000-2001;Años 2000;Europa;Enganche y carrileros;3-4-1-2;Si;3-2-3-2;5-3-1-1;assets/images/tacticas/roma-2000-2001.jpg;img/special teams/as-roma-1997-2013-logo.png;Totti libre, Batistuta como referencia y carrileros profundos en un equipo fuerte y técnico.;Posesión;Pase corto;Centro;Flexible;4;Defensa total;Centro;Conservadora;5;8;Laterales ofensivos;Centros al área;Delantero liberado: Batistuta;Defensa atrasada;Totti libre|Batistuta referencia|Carrileros
psg-2024-2025;Paris Saint-Germain;El PSG coral de Luis Enrique;2024-2025;Años 2020;Europa;Posesión dinámica;4-3-3;Si;2-3-2-3;4-1-4-1;assets/images/tacticas/psg-2024-2025.jpg;img/teams/114.webp;Presión alta, circulación corta, laterales profundos y extremos agresivos en un equipo coral.;Posesión;Pase corto;Centro;Flexible;3;Presión en primera línea;Centro;Agresiva;8;8;Tiqui-taca;Laterales ofensivos;Presión alta;Marcaje estrecho: DC rival;Presión alta|Vitinha eje|Extremos móviles
bayer-leverkusen-2023-2024;Bayer Leverkusen;El Leverkusen de Xabi Alonso;2023-2024;Años 2020;Europa;Carrileros altísimos;3-4-2-1;Si;3-2-5;5-4-1;assets/images/tacticas/bayer-leverkusen-2023-2024.jpg;img/teams/2349.webp;Control paciente, carrileros muy altos, Wirtz entre líneas y Xhaka manejando tiempos.;Posesión;Pase corto;Centro;Flexible;3;Presión en primera línea;Centro;Conservadora;7;8;Laterales ofensivos;Tiqui-taca;Presión alta;Marcaje estrecho: DC rival;Carrileros altos|Wirtz libre|Control paciente
atalanta-2023-2024;Atalanta;La Atalanta de Gasperini;2023-2024;Años 2020;Europa;Presión hombre a hombre;3-4-2-1;Si;3-2-4-1;5-2-2-1;assets/images/tacticas/atalanta-2023-2024.webp;img/special teams/Atalanta Bergamasca Calcio.png;Presión agresiva, carrileros intensos, verticalidad y Scamacca como referencia de descarga.;Contraataque;Pase corto;Centro;Flexible;5;Presión en primera línea;Centro;Agresiva;7;8;Rotación de banda;Centros al área;Presión alta;Marcaje estrecho: DC rival;Presión al hombre|Carrileros|Scamacca referencia
leicester-city-2015-2016;Leicester City;El Leicester de Ranieri;2015-2016;Años 2010;Europa;Contraataque puro;4-4-2;Si;4-4-1-1;4-4-2;assets/images/tacticas/leicester-city-2015-2016.jpg;img/special teams/Leicester City FC.png;Bloque compacto, Kanté robando, Mahrez inventando y Vardy atacando espacios.;Contraataque;Pase largo;Centro;Mantener formación;7;Defensa total;Centro;Conservadora;4;8;Defensivo: Kanté;Ensanchar la cancha;Delantero liberado: Vardy;Defensa atrasada;Bloque bajo|Vardy al espacio|Kanté roba
grecia-2004;Grecia;La Grecia de Rehhagel;2004;Años 2000;Europa;Defensa extrema;4-5-1;Si;4-4-1-1;4-5-1;assets/images/tacticas/grecia-2004.jpg;img/special teams/grecia-2004-logo.png;Bloque muy bajo, juego aéreo, pelota parada y máxima eficacia para competir cada partido.;Contraataque;Pase largo;Banda;Mantener formación;7;Defensa total;Centro;Conservadora;3;9;Centros al área;Defensivo: Zagorakis;Defensa atrasada;Poblar el área;Bloque bajo|Pelota parada|Charisteas
porto-2003-2004;FC Porto;El Porto de Mourinho;2003-2004;Años 2000;Europa;Bloque inteligente;4-3-1-2;Si;2-3-3-2;4-4-2;assets/images/tacticas/porto-2003-2004.webp;img/special teams/fc-porto-2002-2010-logo.png;Equipo compacto con Costinha equilibrando, Deco libre y laterales dando amplitud.;Contraataque;Pase corto;Centro;Mantener formación;5;Defensa total;Centro;Conservadora;5;8;Defensivo: Costinha;Laterales ofensivos;Delantero liberado: Derlei;Marcaje estrecho: DC rival;Deco libre|Costinha ancla|Laterales amplios
inter-2020-2021;Inter;El Inter de Conte;2020-2021;Años 2020;Europa;Automatismos de carrileros;3-5-2;Si;3-3-2-2;5-3-2;assets/images/tacticas/inter-2020-2021.webp;img/special teams/FC Internazionale.png;3-5-2 de carrileros profundos, Brozovic como eje y dupla Lukaku-Lautaro arriba.;Contraataque;Pase corto;Banda;Mantener formación;5;Defensa total;Centro;Conservadora;5;8;Laterales ofensivos;Centros al área;Delantero liberado: Lukaku;Defensa atrasada;Carrileros|Brozovic eje|Lukaku-Lautaro
chile-2015;Chile;El Chile de Sampaoli;2015;Años 2010;América;Presión valiente;3-4-1-2;Si;3-2-3-2;5-3-2;assets/images/tacticas/chile-2015.jpg;img/special teams/chile-2010-logo.png;Presión alta, carrileros, intensidad y libertad para Alexis y Vidal entre líneas.;Posesión;Pase corto;Centro;Flexible;4;Presión en primera línea;Centro;Agresiva;8;8;Laterales ofensivos;Rotación de banda;Presión alta;Marcaje estrecho: DC rival;Presión alta|Alexis libre|Carrileros
italia-2006;Italia;La Italia de Lippi;2006;Años 2000;Europa;Oficio italiano;4-3-1-2;Si;4-3-1-2;4-4-1-1;assets/images/tacticas/italia-2006.jpg;img/special teams/italia-2006-logo.png;Equipo equilibrado con Pirlo organizando, Gattuso protegiendo, Totti libre y defensa fuerte.;Posesión;Pase corto;Centro;Mantener formación;4;Defensa total;Centro;Conservadora;5;8;Defensivo: Pirlo;Centros al área;Marcaje estrecho: DC rival;Defensa atrasada;Pirlo regista|Totti libre|Defensa fuerte
napoli-1986-1987;Napoli;El Napoli de Maradona;1986-1987;Años 80;Europa;Maradona libre;3-4-1-2;Si;3-3-1-3;5-3-1-1;assets/images/tacticas/napoli-1986-1987.jpg;img/special teams/ssc-napoli-1985-1997-logo.png;Bloque sacrificado alrededor de Maradona, que queda libre para recibir y decidir cada ataque.;Contraataque;Pase corto;Centro;Flexible;5;Defensa total;Centro;Conservadora;5;8;Tiqui-taca;Defensivo: De Napoli;Delantero liberado: Maradona;Defensa atrasada;Maradona libre|Bloque compacto|Sacrificio
